fecha,solar_rad_total,solar_rad_max,precipitation_total,temp_2m_max,temp_2m_min,temp_2m_mean,cloud_cover_mean,wind_u_mean,wind_v_mean,pressure_mean,boundary_layer_height_mean,boundary_layer_height_max,cape_mean,cape_max,skin_temp_max,skin_temp_min,skin_temp_mean,temp_differential,wind_speed_mean
2024-01-03,7427670.471111111,1086.4,243.54219436645508,36.32387695312502,13.870996093750023,24.571221923828148,0.282463401556015,-2.856266736984253,-0.8341081738471985,1005.437578125,846.4163818359375,2575.17431640625,325.9175109863281,2713.625,45.11708984375002,13.816796875000023,27.580987548828148,22.452880859375,2.9755665205942514
2024-01-04,7591323.875555555,1077.048888888889,137.94898986816406,36.42666015625002,16.272119140625023,24.917321777343773,0.38373517990112305,-2.454558849334717,-2.3094890117645264,1005.356328125,869.176025390625,2362.948486328125,332.6070556640625,2316.75,45.82363281250002,14.961328125000023,28.018182373046898,20.154541015625,3.370252014361605
2024-01-05,7322063.0755555555,1078.1155555555556,824.4285583496094,37.64785156250002,17.277734375000023,25.789605712890648,0.3745514452457428,-0.7804433107376099,-2.8959686756134033,1002.41671875,821.4100952148438,3330.38427734375,380.67431640625,2800.5,45.98085937500002,15.718164062500023,29.061425781250023,20.3701171875,2.999287637324758
2024-01-06,5954191.36,1072.4622222222222,3347.4607467651367,37.86586914062502,17.779931640625023,25.324700927734398,0.6009179353713989,0.5605491399765015,-1.531902551651001,998.585859375,681.6793823242188,2732.21923828125,560.1598510742188,2745.375,47.02456054687502,16.311669921875023,27.710809326171898,20.0859375,1.6312390278813351
2024-01-07,5429048.32,1066.5955555555556,8996.530532836914,34.53408203125002,13.543603515625023,23.653131103515648,0.6450899243354797,-0.664064884185791,-0.5206543803215027,998.62359375,598.6229858398438,4024.16552734375,637.0323486328125,3614.75,43.56020507812502,13.536523437500023,26.266198730468773,20.990478515625,0.8438383459861587
2024-01-08,6468290.56,1079.1466666666668,3072.963237762451,31.285546875000023,14.077294921875023,23.583306884765648,0.44899365305900574,1.037133812904358,0.03852984309196472,998.97578125,710.4276123046875,2717.360595703125,424.7845458984375,2025.125,40.25795898437502,15.195947265625023,26.403070068359398,17.208251953125,1.037849263948394
2024-01-10,5863809.706666667,1083.6266666666668,6193.511009216309,35.88540039062502,11.274804687500023,23.189904785156273,0.48448503017425537,-2.5095202922821045,-0.6797698736190796,1001.193828125,652.7603759765625,2680.7060546875,224.18385314941406,2167.375,43.00356445312502,10.895654296875023,25.952783203125023,24.610595703125,2.5999575339716143
2024-01-12,7176294.4,1089.7777777777778,613.8162612915039,32.29213867187502,8.133203125000023,22.156579589843773,0.29992949962615967,-2.4047932624816895,-1.6850926876068115,1006.315625,765.9325561523438,2582.02099609375,82.02201080322266,2197.375,39.21596679687502,8.190087890625023,25.917291259765648,24.158935546875,2.9364209509372587
2024-01-13,7196953.031111111,1089.5288888888888,943.7751770019531,34.61098632812502,12.850244140625023,24.240350341796898,0.32855385541915894,0.1825561672449112,-4.1813764572143555,1001.52578125,857.9854125976562,3096.654296875,230.0859832763672,1915.125,41.04091796875002,12.784814453125023,26.771417236328148,21.7607421875,4.185359701524545
2024-01-17,7460464.64,1106.4177777777777,462.2535705566406,36.02944335937502,11.710595703125023,23.583703613281273,0.25578203797340393,-1.392332673072815,-0.039788223803043365,1005.63953125,788.5510864257812,2928.8447265625,12.40865421295166,1023.75,45.38857421875002,10.820703125000023,26.040948486328148,24.31884765625,1.392901064418967
2024-01-19,7531423.288888888,1096.7111111111112,229.10261154174805,35.25527343750002,9.753564453125023,24.491601562500023,0.17535355687141418,-0.3334882855415344,3.0140433311462402,1004.113984375,775.845947265625,2858.818359375,82.93201446533203,1907.375,44.93569335937502,10.260644531250023,27.182458496093773,25.501708984375,3.032436584435123
2024-01-20,8108603.733333333,1101.2622222222221,5.030155181884766,35.36220703125002,9.067285156250023,23.165979003906273,0.0617903470993042,-2.659348726272583,0.3282986581325531,1005.8209375,806.3685913085938,3307.08251953125,4.44252872467041,614.375,45.08144531250002,9.179589843750023,26.678460693359398,26.294921875,2.6795364630583487
2024-01-22,8063948.8,1108.0533333333333,0.2942085266113281,36.27578125000002,12.367578125000023,23.987329101562523,0.04486667364835739,-1.460402011871338,-1.327487587928772,1010.67640625,785.9791870117188,2498.8955078125,8.203448295593262,1242.5,44.20156250000002,12.412500000000023,26.999688720703148,23.908203125,1.9735747597653353
2024-01-25,7963509.191111111,1093.7244444444445,0.0152587890625,38.68471679687502,15.427880859375023,25.599694824218773,0.07799530774354935,-1.6365323066711426,-3.839991569519043,1005.96875,943.0264892578125,2546.20849609375,0.6976819634437561,50.25,47.93471679687502,14.380029296875023,28.165246582031273,23.2568359375,4.174179349854974
2024-01-27,7860460.657777778,1090.6666666666667,0.11014938354492188,36.89541015625002,15.532861328125023,25.504815673828148,0.20899420976638794,-1.407400369644165,-3.8970255851745605,1005.799296875,952.3350219726562,2338.54345703125,1.2712547779083252,220.375,48.49697265625002,13.691796875000023,28.550012207031273,21.362548828125,4.1433783573286735
2024-01-28,7588618.808888889,1085.0133333333333,0.45871734619140625,36.37783203125002,15.734765625000023,25.492211914062523,0.3422337770462036,-2.4186062812805176,-2.5607757568359375,1004.969609375,948.9086303710938,2456.861572265625,1.3981609344482422,129.625,48.04750976562502,14.444726562500023,28.662744140625023,20.64306640625,3.5223896463407116
