target,features,n_features,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,full,125,0.5435753094070755,0.7278514163874461,0.6180812379082861,0.10977017847916004
ganancia_altura_m,full,125,0.5308066070081419,0.7160148530280155,0.5927167813768675,0.12329807165114803
duracion_min,full,125,0.4415659784175493,0.6542277326176684,0.6210904176602248,0.03313731495744365
distancia_km,full,125,0.4933247703899305,0.6809737297852607,0.6637224716003509,0.0172512581849098
velocidad_promedio_kmh,full,125,0.2551415203581432,0.5001529655228568,0.41677230012767974,0.08338066539517708
num_termicas,full,125,0.111571433235151,0.3696453899005083,0.25163934024489254,0.11800604965561579
intensidad_termicas_mean_ms,full,125,-0.15815272622777216,0.24502264032482346,0.0,0.4019045980545608
tiempo_en_termicas_min,full,125,0.46253151065482817,0.6569604731628584,0.6688987027231326,-0.011938229560274127
tasa_ascenso_mean_ms,full,125,-0.09481571021713293,0.21544352609596928,0.0,0.4725474784524075
