target,modelo,features,n_features,alpha,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,Ridge,full,125,1.0,0.4289197068096916,0.7377778564927865,0.606951551906667,0.13082630458611944
altura_max_m,Lasso,full,125,1.0,0.4597107110203266,0.7410961366851816,0.6047823447171397,0.13631379196804194
altura_max_m,ElasticNet,full,125,0.01,0.4397666361844924,0.7203469647641856,0.5846465351043615,0.1357004296598241
ganancia_altura_m,LinearRegression,full,125,,-2.2305931399677483,0.8259048731718602,0.5274002259353444,0.2985046472365158
ganancia_altura_m,Ridge,full,125,1.0,0.38942576286593955,0.7249845376524899,0.5505764528080233,0.17440808484446668
ganancia_altura_m,Lasso,full,125,1.0,0.4184426804003617,0.7285913832061057,0.5491271180632513,0.1794642651428544
ganancia_altura_m,ElasticNet,full,125,0.01,0.4010146163831174,0.7060252728917409,0.5254685781581474,0.18055669473359348
duracion_min,LinearRegression,full,125,,-5.161343464022766,0.8133814675595538,0.0,0.9434159327695527
duracion_min,Ridge,full,125,10.0,0.201758655899582,0.4607761192152522,0.39819103753193785,0.06258508168331434
duracion_min,Lasso,full,125,0.1,0.42603481663270576,0.7185968548261374,0.6984523831425831,0.020144471683554377
duracion_min,ElasticNet,full,125,0.01,0.24817268404561837,0.5647627017379363,0.47989093034802577,0.08487177138991053
distancia_km,LinearRegression,full,125,,-4.948191249158392,0.7995433922911863,0.24944941881071314,0.5500939734804732
distancia_km,Ridge,full,125,10.0,0.28791365854423,0.5392326802380936,0.5366187678879768,0.002613912350116765
distancia_km,Lasso,full,125,1.0,0.3448566441636062,0.5808957674428534,0.6566604043798765,-0.07576463693702307
distancia_km,ElasticNet,full,125,0.01,0.3215430891446826,0.6182181785156946,0.5952300267932691,0.02298815172242552
velocidad_promedio_kmh,LinearRegression,full,125,,-4.37770385269445,0.5452961028789098,0.24117116653320048,0.30412493634570936
velocidad_promedio_kmh,Ridge,full,125,100.0,0.16603380065292903,0.35192959654500167,0.4336640527724277,-0.08173445622742603
velocidad_promedio_kmh,Lasso,full,125,1.0,0.19551770198675653,0.3121199845514696,0.42212179035880104,-0.11000180580733143
velocidad_promedio_kmh,ElasticNet,full,125,0.1,0.18815947226999946,0.3983876925049721,0.4824472709774785,-0.08405957847250645
num_termicas,LinearRegression,full,125,,-5.0551184480565015,0.4165751010498917,0.0,0.9349147039574308
num_termicas,Ridge,full,125,100.0,0.08302155897921462,0.22822853140571464,0.1527140588938788,0.07551447251183585
num_termicas,Lasso,full,125,1.0,0.0876526772275698,0.22944692747127027,0.14529863470618654,0.08414829276508373
num_termicas,ElasticNet,full,125,1.0,0.09452324220995015,0.20995909467283025,0.15604721948138012,0.05391187519145013
intensidad_termicas_mean_ms,LinearRegression,full,125,,-2.570189397277577,0.31404354245662003,0.0,1.9136446107045284
intensidad_termicas_mean_ms,Ridge,full,125,1000.0,-0.1633025214979474,0.12409115203002119,0.0,0.31666465242549546
intensidad_termicas_mean_ms,Lasso,full,125,100.0,-0.037201692338497946,0.0,0.0,0.059495861584680565
intensidad_termicas_mean_ms,ElasticNet,full,125,100.0,-0.037201692338497946,0.0,0.0,0.059495861584680565
tiempo_en_termicas_min,LinearRegression,full,125,,-5.676333942324497,0.7917157471516583,0.022129599214612217,0.769586147937046
tiempo_en_termicas_min,Ridge,full,125,10.0,0.21462098148310318,0.4653802178849835,0.47796815980793117,-0.012587941922947654
tiempo_en_termicas_min,Lasso,full,125,0.1,0.41465711727925764,0.6208421607464889,0.7144292422627305,-0.09358708151624162
tiempo_en_termicas_min,ElasticNet,full,125,0.01,0.24431171083168968,0.5626618762701127,0.5520879401579392,0.010573936112173499
tasa_ascenso_mean_ms,LinearRegression,full,125,,-3.028314730218297,0.30028282342666945,0.0,1.4170410672432705
tasa_ascenso_mean_ms,Ridge,full,125,1000.0,-0.16243994887051422,0.05910597685886776,0.0,0.16949413644613864
tasa_ascenso_mean_ms,Lasso,full,125,100.0,-0.0018062522950509142,0.0,0.0,0.03423753342211988
tasa_ascenso_mean_ms,ElasticNet,full,125,100.0,-0.0018062522950509142,0.0,0.0,0.03423753342211988
