fecha,pilot,glider,competition_id,altura_max_m,altura_min_m,altura_despegue_m,altura_aterrizaje_m,ganancia_altura_m,rango_altura_m,duracion_min,duracion_horas,distancia_km,velocidad_promedio_kmh,lat_despegue,lon_despegue,hora_despegue,hora_despegue_decimal,num_gps_fixes,frecuencia_muestreo_seg,num_termicas,intensidad_termicas_mean_ms,intensidad_termicas_max_ms,intensidad_termicas_min_ms,intensidad_termicas_std_ms,altura_base_termicas_mean_m,altura_tope_termicas_mean_m,altura_base_termicas_min_m,altura_tope_termicas_max_m,ganancia_por_termica_mean_m,ganancia_por_termica_max_m,duracion_termica_mean_seg,duracion_termica_max_seg,hora_primera_termica,hora_ultima_termica,dispersion_termicas_lat,dispersion_termicas_lon,tiempo_en_termicas_min,tiempo_en_planeo_min,porcentaje_tiempo_termicas,tasa_ascenso_mean_ms,tasa_descenso_mean_ms,bearing_change_mean_deg,bearing_change_max_deg,bearing_change_std_deg,ground_speed_mean_kmh,ground_speed_max_kmh,ground_speed_min_kmh,ground_speed_std_kmh,hora_inicio_decimal,hora_fin_decimal,altura_mean_manana_m,altura_mean_mediodia_m,altura_mean_tarde1_m,altura_mean_tarde2_m,lat_min,lat_max,lon_min,lon_max,lat_centro,lon_centro,rango_lat_deg,rango_lon_deg,distancia_max_despegue_km,area_vuelo_km2,altura_std_m,altura_cv,cambio_altura_mean_m,cambio_altura_std_m,filename,flight_id,solar_rad_09h,solar_rad_10h,solar_rad_11h,solar_rad_12h,solar_rad_13h,solar_rad_14h,solar_rad_15h,solar_rad_16h,solar_rad_17h,solar_rad_18h,precipitation_09h,precipitation_10h,precipitation_11h,precipitation_12h,precipitation_13h,precipitation_14h,precipitation_15h,precipitation_16h,precipitation_17h,precipitation_18h,temp_2m_09h,temp_2m_10h,temp_2m_11h,temp_2m_12h,temp_2m_13h,temp_2m_14h,temp_2m_15h,temp_2m_16h,temp_2m_17h,temp_2m_18h,cloud_cover_09h,cloud_cover_10h,cloud_cover_11h,cloud_cover_12h,cloud_cover_13h,cloud_cover_14h,cloud_cover_15h,cloud_cover_16h,cloud_cover_17h,cloud_cover_18h,wind_u_09h,wind_u_10h,wind_u_11h,wind_u_12h,wind_u_13h,wind_u_14h,wind_u_15h,wind_u_16h,wind_u_17h,wind_u_18h,wind_v_09h,wind_v_10h,wind_v_11h,wind_v_12h,wind_v_13h,wind_v_14h,wind_v_15h,wind_v_16h,wind_v_17h,wind_v_18h,pressure_09h,pressure_10h,pressure_11h,pressure_12h,pressure_13h,pressure_14h,pressure_15h,pressure_16h,pressure_17h,pressure_18h,boundary_layer_height_09h,boundary_layer_height_10h,boundary_layer_height_11h,boundary_layer_height_12h,boundary_layer_height_13h,boundary_layer_height_14h,boundary_layer_height_15h,boundary_layer_height_16h,boundary_layer_height_17h,boundary_layer_height_18h,cape_09h,cape_10h,cape_11h,cape_12h,cape_13h,cape_14h,cape_15h,cape_16h,cape_17h,cape_18h,skin_temp_09h,skin_temp_10h,skin_temp_11h,skin_temp_12h,skin_temp_13h,skin_temp_14h,skin_temp_15h,skin_temp_16h,skin_temp_17h,skin_temp_18h,wind_speed_09h,wind_speed_10h,wind_speed_11h,wind_speed_12h,wind_speed_13h,wind_speed_14h,wind_speed_15h,wind_speed_16h,wind_speed_17h,wind_speed_18h
2024-01-08,Miguel Serrano,ASW-20,AJ,1282,98,107,101,1181,1184,148.1,2.47,284.2,115.2,-31.275883,-61.507833,16:01:00,16.03,4863,1.0,45,2.41,8.0,1.27,0.55,910.0,952.0,99,1263,42.0,414,18.0,150.0,16.11,18.12,0.1177,0.2185,52.9,95.2,35.7,2.47,-1.91,23.8,359.4,60.6,116.8,196.8,0.0,25.7,16.03,18.49,0,0,0.0,910.0,-31.328017,-30.929733,-62.13315,-61.49375,-31.206512,-61.853888,0.3983,0.6394,57.6,2600.6,238.5,0.287,-0.0,5.7,2024-01-08 Mauro Jusco 358357.igc,IGC_0006,0.0,5.422222222222223,58.84444444444444,71.46666666666667,147.2711111111111,161.7422222222222,191.78666666666663,215.4311111111111,204.44444444444449,161.17333333333335,0.0047683715820312,0.0476837158203125,0.0715255737304687,0.12969970703125,0.0095367431640625,0.1087188720703125,0.1735687255859375,0.1888275146484375,0.1277923583984375,0.0333786010742187,23.296044921875023,23.355004882812523,23.191796875000023,22.928002929687523,23.661035156250023,24.625146484375023,24.847070312500023,25.109033203125023,25.666894531250023,26.088281250000023,0.522003173828125,1.0,1.0,1.0,1.0,1.0,0.982574462890625,0.99798583984375,0.99017333984375,1.0,-4.189788818359375,-5.13482666015625,-5.00726318359375,-4.6587677001953125,-4.3258819580078125,-4.680435180664063,-4.950103759765625,-4.717453002929688,-4.387847900390625,-4.457199096679688,2.4108123779296875,2.704940795898437,2.235748291015625,1.4260406494140625,0.643310546875,0.2727508544921875,0.388916015625,0.74560546875,1.179840087890625,1.5325469970703125,986.76625,989.13625,989.811875,990.776875,991.149375,991.103125,990.881875,990.425625,989.99875,989.40875,447.384765625,558.1144409179688,624.6121826171875,666.0245361328125,700.8421630859375,702.3760375976562,765.1053466796875,813.2218017578125,840.3712158203125,910.860595703125,896.75,952.625,1144.5,1193.125,1242.125,1266.75,1228.25,1189.0,1074.25,993.375,24.129541015625023,23.516748046875023,23.761376953125023,24.040917968750023,24.096093750000023,24.526757812500023,26.375878906250023,26.750634765625023,27.179833984375023,28.511621093750023,4.833874911913655,5.80371859579417,5.483726379985849,4.8721359195084455,4.373454375472336,4.688375679169072,4.965358285124589,4.776011971287367,4.543702436334952,4.713313493252008
2024-01-08,Miguel Angel  Serrano,401 Kestrel 19m,AT,1348,111,114,117,1234,1237,153.7,2.56,271.5,106.0,-31.276067,-61.5079,15:52:00,15.88,9219,1.0,107,2.33,13.0,1.09,0.72,927.0,969.0,118,1348,42.0,196,19.0,74.0,15.9,18.24,0.11,0.1809,58.1,95.6,37.8,2.24,-1.92,8.4,356.6,35.9,115.7,172.9,0.0,26.7,15.88,18.44,0,0,0.0,908.0,-31.309067,-30.930417,-62.111617,-61.477633,-31.186745,-61.732293,0.3787,0.634,55.7,2451.5,226.8,0.249,0.0,2.2,2024-01-08 Miguel Ángel Serrano 358353.igc,IGC_0078,0.0,5.422222222222223,58.84444444444444,71.46666666666667,147.2711111111111,161.7422222222222,191.78666666666663,215.4311111111111,204.44444444444449,161.17333333333335,0.0047683715820312,0.0476837158203125,0.0715255737304687,0.12969970703125,0.0095367431640625,0.1087188720703125,0.1735687255859375,0.1888275146484375,0.1277923583984375,0.0333786010742187,23.296044921875023,23.355004882812523,23.191796875000023,22.928002929687523,23.661035156250023,24.625146484375023,24.847070312500023,25.109033203125023,25.666894531250023,26.088281250000023,0.522003173828125,1.0,1.0,1.0,1.0,1.0,0.982574462890625,0.99798583984375,0.99017333984375,1.0,-4.189788818359375,-5.13482666015625,-5.00726318359375,-4.6587677001953125,-4.3258819580078125,-4.680435180664063,-4.950103759765625,-4.717453002929688,-4.387847900390625,-4.457199096679688,2.4108123779296875,2.704940795898437,2.235748291015625,1.4260406494140625,0.643310546875,0.2727508544921875,0.388916015625,0.74560546875,1.179840087890625,1.5325469970703125,986.76625,989.13625,989.811875,990.776875,991.149375,991.103125,990.881875,990.425625,989.99875,989.40875,447.384765625,558.1144409179688,624.6121826171875,666.0245361328125,700.8421630859375,702.3760375976562,765.1053466796875,813.2218017578125,840.3712158203125,910.860595703125,896.75,952.625,1144.5,1193.125,1242.125,1266.75,1228.25,1189.0,1074.25,993.375,24.129541015625023,23.516748046875023,23.761376953125023,24.040917968750023,24.096093750000023,24.526757812500023,26.375878906250023,26.750634765625023,27.179833984375023,28.511621093750023,4.833874911913655,5.80371859579417,5.483726379985849,4.8721359195084455,4.373454375472336,4.688375679169072,4.965358285124589,4.776011971287367,4.543702436334952,4.713313493252008
2024-01-12,Unknown,Unknown,,1471,110,111,111,1360,1361,160.5,2.67,318.3,119.0,-31.286317,-61.512283,16:23:00,16.39,5140,1.0,71,3.51,64.0,-8.08,3.92,1012.0,1056.0,122,1442,45.0,260,17.0,101.0,16.47,18.88,0.205,0.0788,59.2,101.3,36.9,3.55,-3.85,22.6,357.4,58.1,117.2,245.6,0.0,31.1,16.39,19.06,0,0,0.0,814.0,-31.572983,-30.84585,-61.591367,-61.300083,-31.165112,-61.466307,0.7271,0.2913,52.6,2162.9,233.5,0.234,0.0,13.0,2024-01-12 Mauro Jusco 359020.igc,IGC_0347,0.0,6.897777777777778,89.63555555555556,237.6355555555556,470.0444444444444,592.6577777777778,724.7822222222222,802.0977777777778,700.7288888888888,714.7377777777778,0.0,0.0,0.0004768371582031,0.0028610229492187,0.3108978271484375,0.3004074096679687,0.1001358032226562,0.080108642578125,0.0505447387695312,0.0085830688476562,24.723046875000023,25.146386718750023,25.378564453125023,26.024804687500023,27.016259765625023,27.795556640625023,28.937402343750023,29.439599609375023,30.295068359375023,31.819482421875023,0.5987548828125,0.494140625,0.399932861328125,0.317596435546875,0.307098388671875,0.482574462890625,0.444244384765625,0.4779052734375,0.3680419921875,0.45770263671875,-3.2105865478515625,-3.103851318359375,-3.5144195556640625,-3.911575317382813,-4.042526245117188,-4.033721923828125,-4.3191680908203125,-4.166351318359375,-4.011016845703125,-3.97845458984375,0.9039154052734376,0.6739959716796875,0.2246246337890625,-0.294036865234375,-1.0656585693359375,-1.70452880859375,-2.53839111328125,-3.197616577148437,-3.7086029052734375,-3.896270751953125,993.950625,995.125,995.584375,995.79625,995.605,995.298125,995.054375,994.075,993.344375,992.174375,358.3452453613281,395.081298828125,472.9150390625,626.7978515625,918.639892578125,1006.877197265625,1162.04833984375,1322.753662109375,1410.5584716796875,1508.1458740234375,104.9375,327.5,383.75,427.125,511.625,502.625,278.625,140.375,31.125,7.875,23.389306640625023,23.878808593750023,25.541406250000023,27.672998046875023,31.728173828125023,32.53676757812502,34.49257812500002,35.65468750000002,35.88784179687502,36.59584960937502,3.3354053788311933,3.1761869555052447,3.521590697304111,3.922611265684545,4.18062754007821,4.379078786468416,5.009854532892708,5.251974398495236,5.462782408765412,5.568574925057054
2024-01-12,Miguel Angel  Serrano,401 Kestrel 19m,AT,1262,115,127,126,1136,1147,156.1,2.6,260.0,100.0,-31.286183,-61.51215,16:15:00,16.26,9360,1.0,91,2.13,9.0,1.09,0.59,879.0,915.0,129,1242,36.0,172,17.0,60.0,16.28,18.61,0.1559,0.028,58.5,97.6,37.5,2.13,-1.85,11.9,357.4,46.7,104.6,175.2,0.0,25.7,16.26,18.86,0,0,0.0,793.0,-31.5705,-30.973017,-61.55825,-61.44475,-31.247088,-61.505994,0.5975,0.1135,35.1,692.5,198.7,0.224,-0.0,2.1,2024-01-12 Miguel Ángel Serrano 359013.igc,IGC_0334,0.0,6.897777777777778,89.63555555555556,237.6355555555556,470.0444444444444,592.6577777777778,724.7822222222222,802.0977777777778,700.7288888888888,714.7377777777778,0.0,0.0,0.0004768371582031,0.0028610229492187,0.3108978271484375,0.3004074096679687,0.1001358032226562,0.080108642578125,0.0505447387695312,0.0085830688476562,24.723046875000023,25.146386718750023,25.378564453125023,26.024804687500023,27.016259765625023,27.795556640625023,28.937402343750023,29.439599609375023,30.295068359375023,31.819482421875023,0.5987548828125,0.494140625,0.399932861328125,0.317596435546875,0.307098388671875,0.482574462890625,0.444244384765625,0.4779052734375,0.3680419921875,0.45770263671875,-3.2105865478515625,-3.103851318359375,-3.5144195556640625,-3.911575317382813,-4.042526245117188,-4.033721923828125,-4.3191680908203125,-4.166351318359375,-4.011016845703125,-3.97845458984375,0.9039154052734376,0.6739959716796875,0.2246246337890625,-0.294036865234375,-1.0656585693359375,-1.70452880859375,-2.53839111328125,-3.197616577148437,-3.7086029052734375,-3.896270751953125,993.950625,995.125,995.584375,995.79625,995.605,995.298125,995.054375,994.075,993.344375,992.174375,358.3452453613281,395.081298828125,472.9150390625,626.7978515625,918.639892578125,1006.877197265625,1162.04833984375,1322.753662109375,1410.5584716796875,1508.1458740234375,104.9375,327.5,383.75,427.125,511.625,502.625,278.625,140.375,31.125,7.875,23.389306640625023,23.878808593750023,25.541406250000023,27.672998046875023,31.728173828125023,32.53676757812502,34.49257812500002,35.65468750000002,35.88784179687502,36.59584960937502,3.3354053788311933,3.1761869555052447,3.521590697304111,3.922611265684545,4.18062754007821,4.379078786468416,5.009854532892708,5.251974398495236,5.462782408765412,5.568574925057054
2024-01-13,Unknown,Jantar St2,,1436,86,114,86,1350,1350,174.9,2.92,353.2,121.1,-31.286133,-61.512,16:40:00,16.68,10497,1.0,79,2.24,18.0,1.25,0.61,999.0,1041.0,120,1425,42.0,250,19.0,93.0,16.7,19.41,0.0691,0.1099,66.0,109.0,37.7,2.22,-1.92,13.2,357.4,44.9,130.7,462.6,0.0,36.7,16.68,19.59,0,0,0.0,719.0,-31.44205,-31.104,-61.652133,-61.21355,-31.267669,-61.460681,0.338,0.4386,34.0,1514.1,257.6,0.251,-0.0,2.2,2024-01-13 Fernando Pais 359316.igc,IGC_0273,0.0,9.173333333333334,141.5288888888889,313.77777777777777,533.3866666666667,675.6444444444444,877.8844444444444,791.4666666666667,385.92,415.0755555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073486328125,0.0238418579101562,0.0,0.0085830688476562,25.477197265625023,25.473779296875023,26.067041015625023,26.972558593750023,28.472070312500023,29.871240234375023,31.393945312500023,32.39516601562502,32.63466796875002,33.03286132812502,0.20025634765625,0.266021728515625,0.28509521484375,0.2760009765625,0.25616455078125,0.188751220703125,0.418701171875,0.98583984375,0.638671875,0.709869384765625,-4.8056640625,-4.301025390625,-4.2906036376953125,-4.198486328125,-3.667083740234375,-3.01287841796875,-2.6268463134765625,-2.62261962890625,-2.762191772460937,-2.5692138671875,-1.7840118408203125,-2.241561889648437,-2.094711303710937,-2.9469451904296875,-3.535873413085937,-3.94476318359375,-4.71343994140625,-4.2201995849609375,-3.865478515625,-4.180877685546875,991.376875,992.41875,992.638125,992.92125,992.710625,991.909375,991.22875,990.20375,989.356875,988.278125,646.29931640625,633.2698974609375,684.46923828125,772.50048828125,931.675048828125,1156.883544921875,1537.643798828125,1634.40478515625,1797.3243408203125,1687.5291748046875,9.25,42.75,21.375,19.625,20.5625,64.375,92.875,144.5,193.125,208.25,24.058251953125023,23.953027343750023,26.140039062500023,28.911767578125023,31.978417968750023,34.55385742187502,36.97866210937502,36.54506835937502,35.84560546875002,36.51967773437502,5.12611990981396,4.850094753293507,4.774630354456628,5.1295003073251895,5.094104823348194,4.963727725822457,5.396002004805887,4.968724006707237,4.750960696807473,4.907198601733207
2024-01-13,GUSTAVO PORRAL,Ventus b (15m),AL,1334,102,103,102,1232,1232,184.4,3.07,336.2,109.4,-31.286083,-61.511717,16:27:00,16.47,6406,1.0,79,2.18,11.0,1.33,0.51,933.0,972.0,110,1333,39.0,321,18.0,92.0,16.55,19.34,0.1032,0.1201,72.0,112.4,39.0,2.27,-1.99,18.6,357.0,54.5,108.5,199.6,0.0,24.3,16.47,19.54,0,0,0.0,778.0,-31.45235,-31.026883,-61.661817,-61.173783,-31.268351,-61.44701,0.4255,0.488,42.3,2120.4,221.8,0.241,-0.0,5.4,2024-01-13 Gustavo Porral 359232.igc,IGC_0065,0.0,9.173333333333334,141.5288888888889,313.77777777777777,533.3866666666667,675.6444444444444,877.8844444444444,791.4666666666667,385.92,415.0755555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073486328125,0.0238418579101562,0.0,0.0085830688476562,25.477197265625023,25.473779296875023,26.067041015625023,26.972558593750023,28.472070312500023,29.871240234375023,31.393945312500023,32.39516601562502,32.63466796875002,33.03286132812502,0.20025634765625,0.266021728515625,0.28509521484375,0.2760009765625,0.25616455078125,0.188751220703125,0.418701171875,0.98583984375,0.638671875,0.709869384765625,-4.8056640625,-4.301025390625,-4.2906036376953125,-4.198486328125,-3.667083740234375,-3.01287841796875,-2.6268463134765625,-2.62261962890625,-2.762191772460937,-2.5692138671875,-1.7840118408203125,-2.241561889648437,-2.094711303710937,-2.9469451904296875,-3.535873413085937,-3.94476318359375,-4.71343994140625,-4.2201995849609375,-3.865478515625,-4.180877685546875,991.376875,992.41875,992.638125,992.92125,992.710625,991.909375,991.22875,990.20375,989.356875,988.278125,646.29931640625,633.2698974609375,684.46923828125,772.50048828125,931.675048828125,1156.883544921875,1537.643798828125,1634.40478515625,1797.3243408203125,1687.5291748046875,9.25,42.75,21.375,19.625,20.5625,64.375,92.875,144.5,193.125,208.25,24.058251953125023,23.953027343750023,26.140039062500023,28.911767578125023,31.978417968750023,34.55385742187502,36.97866210937502,36.54506835937502,35.84560546875002,36.51967773437502,5.12611990981396,4.850094753293507,4.774630354456628,5.1295003073251895,5.094104823348194,4.963727725822457,5.396002004805887,4.968724006707237,4.750960696807473,4.907198601733207
2024-01-13,Unknown,Janus (18m),LV-EP,1276,103,108,105,1171,1173,182.7,3.05,331.8,108.9,-31.286317,-61.5121,16:44:00,16.73,6648,1.0,66,3.38,60.0,-10.43,3.97,866.0,913.0,193,1245,47.0,232,18.0,109.0,16.83,19.57,0.0785,0.0627,66.3,116.4,36.3,3.28,-3.28,20.6,357.0,57.0,114.4,300.0,0.0,21.2,16.73,19.78,0,0,0.0,626.0,-31.455767,-31.143567,-61.6512,-61.343983,-31.317082,-61.514206,0.3122,0.3072,22.7,979.5,230.3,0.272,-0.0,10.4,2024-01-13 Mauro Jusco 359227.igc,IGC_0045,0.0,9.173333333333334,141.5288888888889,313.77777777777777,533.3866666666667,675.6444444444444,877.8844444444444,791.4666666666667,385.92,415.0755555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073486328125,0.0238418579101562,0.0,0.0085830688476562,25.477197265625023,25.473779296875023,26.067041015625023,26.972558593750023,28.472070312500023,29.871240234375023,31.393945312500023,32.39516601562502,32.63466796875002,33.03286132812502,0.20025634765625,0.266021728515625,0.28509521484375,0.2760009765625,0.25616455078125,0.188751220703125,0.418701171875,0.98583984375,0.638671875,0.709869384765625,-4.8056640625,-4.301025390625,-4.2906036376953125,-4.198486328125,-3.667083740234375,-3.01287841796875,-2.6268463134765625,-2.62261962890625,-2.762191772460937,-2.5692138671875,-1.7840118408203125,-2.241561889648437,-2.094711303710937,-2.9469451904296875,-3.535873413085937,-3.94476318359375,-4.71343994140625,-4.2201995849609375,-3.865478515625,-4.180877685546875,991.376875,992.41875,992.638125,992.92125,992.710625,991.909375,991.22875,990.20375,989.356875,988.278125,646.29931640625,633.2698974609375,684.46923828125,772.50048828125,931.675048828125,1156.883544921875,1537.643798828125,1634.40478515625,1797.3243408203125,1687.5291748046875,9.25,42.75,21.375,19.625,20.5625,64.375,92.875,144.5,193.125,208.25,24.058251953125023,23.953027343750023,26.140039062500023,28.911767578125023,31.978417968750023,34.55385742187502,36.97866210937502,36.54506835937502,35.84560546875002,36.51967773437502,5.12611990981396,4.850094753293507,4.774630354456628,5.1295003073251895,5.094104823348194,4.963727725822457,5.396002004805887,4.968724006707237,4.750960696807473,4.907198601733207
2024-01-13,RAUL BREGY,Std Cirrus,,1387,101,102,104,1285,1286,137.3,2.29,243.8,106.5,-31.286133,-61.511683,18:28:00,18.48,6187,1.0,50,1.98,16.0,1.0,0.45,923.0,964.0,107,1362,41.0,401,20.0,129.0,18.53,20.62,0.0105,0.0271,51.4,86.0,37.4,1.79,-1.59,13.9,357.3,47.8,118.3,169.4,0.0,20.3,18.48,20.77,0,0,0.0,0.0,-31.330767,-31.2662,-61.5661,-61.448867,-31.291092,-61.516995,0.0646,0.1172,5.8,77.3,224.5,0.259,0.0,2.8,2024-01-13 Raul Bregy 359260.igc,IGC_0301,0.0,9.173333333333334,141.5288888888889,313.77777777777777,533.3866666666667,675.6444444444444,877.8844444444444,791.4666666666667,385.92,415.0755555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073486328125,0.0238418579101562,0.0,0.0085830688476562,25.477197265625023,25.473779296875023,26.067041015625023,26.972558593750023,28.472070312500023,29.871240234375023,31.393945312500023,32.39516601562502,32.63466796875002,33.03286132812502,0.20025634765625,0.266021728515625,0.28509521484375,0.2760009765625,0.25616455078125,0.188751220703125,0.418701171875,0.98583984375,0.638671875,0.709869384765625,-4.8056640625,-4.301025390625,-4.2906036376953125,-4.198486328125,-3.667083740234375,-3.01287841796875,-2.6268463134765625,-2.62261962890625,-2.762191772460937,-2.5692138671875,-1.7840118408203125,-2.241561889648437,-2.094711303710937,-2.9469451904296875,-3.535873413085937,-3.94476318359375,-4.71343994140625,-4.2201995849609375,-3.865478515625,-4.180877685546875,991.376875,992.41875,992.638125,992.92125,992.710625,991.909375,991.22875,990.20375,989.356875,988.278125,646.29931640625,633.2698974609375,684.46923828125,772.50048828125,931.675048828125,1156.883544921875,1537.643798828125,1634.40478515625,1797.3243408203125,1687.5291748046875,9.25,42.75,21.375,19.625,20.5625,64.375,92.875,144.5,193.125,208.25,24.058251953125023,23.953027343750023,26.140039062500023,28.911767578125023,31.978417968750023,34.55385742187502,36.97866210937502,36.54506835937502,35.84560546875002,36.51967773437502,5.12611990981396,4.850094753293507,4.774630354456628,5.1295003073251895,5.094104823348194,4.963727725822457,5.396002004805887,4.968724006707237,4.750960696807473,4.907198601733207
2024-01-19,Miguel Angel  Serrano,401 Kestrel 19m,AT,1372,112,112,119,1260,1260,230.3,3.84,410.2,106.9,-31.275633,-61.507767,15:44:00,15.74,13815,1.0,170,2.2,11.0,1.23,0.59,909.0,946.0,117,1372,37.0,140,17.0,57.0,15.76,19.45,0.2081,0.2401,89.1,141.2,38.7,2.25,-1.98,9.8,355.9,38.6,115.0,216.9,0.0,33.1,15.74,19.58,0,0,0.0,904.0,-31.588683,-30.852683,-62.138267,-61.394967,-31.191016,-61.761281,0.736,0.7433,59.1,5586.7,218.2,0.243,0.0,2.2,2024-01-19 Miguel Ángel Serrano 359967.igc,IGC_0115,0.0,3.448888888888889,64.21333333333334,182.84444444444443,451.75111111111113,644.8355555555555,787.0755555555555,822.2222222222222,725.12,460.3733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009536743164062,0.0,25.618798828125023,25.794580078125023,26.547998046875023,28.167138671875023,30.160791015625023,32.05312500000002,33.58022460937502,34.44863281250002,35.25527343750002,35.11440429687502,0.602813720703125,0.645751953125,0.318878173828125,0.2596435546875,0.277984619140625,0.237823486328125,0.286865234375,0.646697998046875,0.798553466796875,0.8917236328125,-2.0614166259765625,-1.80230712890625,-1.81268310546875,-1.9746551513671875,-2.0185546875,-2.1169891357421875,-2.0645294189453125,-1.92657470703125,-2.1955108642578125,-3.233551025390625,0.7397003173828125,1.2684326171875,0.9832000732421876,0.847076416015625,0.682373046875,0.99359130859375,1.286041259765625,1.4201812744140625,1.5518646240234375,1.3750762939453125,993.706875,995.16375,995.590625,995.579375,996.021875,995.5325,995.190625,994.396875,993.6975,992.92125,328.5627746582031,312.4018859863281,370.21881103515625,610.6796875,903.219482421875,1257.681396484375,1652.4700927734375,1886.6798095703125,1982.0374755859373,2074.443359375,11.375,6.5,3.0,0.0,0.0,0.0,0.0,0.0,0.625,2.25,25.409082031250023,25.469628906250023,28.188623046875023,32.49233398437502,35.31899414062502,39.62001953125002,41.95180664062502,42.02333984375002,39.53530273437502,38.62294921875002,2.190113025710963,2.2039129500167243,2.0621596506757847,2.148674340469222,2.130773568807745,2.3385608158359905,2.432320670370218,2.393450428558924,2.688596616521246,3.5137852876883557
2024-01-19,GUSTAVO PORRAL,Ventus b (15m),AL,1634,101,107,102,1532,1533,231.4,3.86,440.9,114.3,-31.275783,-61.507833,15:31:00,15.52,6914,1.0,107,2.33,10.0,1.43,0.42,1049.0,1100.0,104,1634,52.0,342,22.0,119.0,15.61,19.18,0.2445,0.2784,90.2,141.2,39.0,2.39,-1.99,16.5,356.9,50.6,111.6,236.8,0.0,28.7,15.52,19.38,0,0,0.0,905.0,-31.643483,-30.846883,-62.3406,-61.363683,-31.18485,-61.770619,0.7966,0.9769,77.9,7947.1,239.3,0.235,-0.0,6.5,2024-01-19 Gustavo Porral 359970.igc,IGC_0026,0.0,3.448888888888889,64.21333333333334,182.84444444444443,451.75111111111113,644.8355555555555,787.0755555555555,822.2222222222222,725.12,460.3733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009536743164062,0.0,25.618798828125023,25.794580078125023,26.547998046875023,28.167138671875023,30.160791015625023,32.05312500000002,33.58022460937502,34.44863281250002,35.25527343750002,35.11440429687502,0.602813720703125,0.645751953125,0.318878173828125,0.2596435546875,0.277984619140625,0.237823486328125,0.286865234375,0.646697998046875,0.798553466796875,0.8917236328125,-2.0614166259765625,-1.80230712890625,-1.81268310546875,-1.9746551513671875,-2.0185546875,-2.1169891357421875,-2.0645294189453125,-1.92657470703125,-2.1955108642578125,-3.233551025390625,0.7397003173828125,1.2684326171875,0.9832000732421876,0.847076416015625,0.682373046875,0.99359130859375,1.286041259765625,1.4201812744140625,1.5518646240234375,1.3750762939453125,993.706875,995.16375,995.590625,995.579375,996.021875,995.5325,995.190625,994.396875,993.6975,992.92125,328.5627746582031,312.4018859863281,370.21881103515625,610.6796875,903.219482421875,1257.681396484375,1652.4700927734375,1886.6798095703125,1982.0374755859373,2074.443359375,11.375,6.5,3.0,0.0,0.0,0.0,0.0,0.0,0.625,2.25,25.409082031250023,25.469628906250023,28.188623046875023,32.49233398437502,35.31899414062502,39.62001953125002,41.95180664062502,42.02333984375002,39.53530273437502,38.62294921875002,2.190113025710963,2.2039129500167243,2.0621596506757847,2.148674340469222,2.130773568807745,2.3385608158359905,2.432320670370218,2.393450428558924,2.688596616521246,3.5137852876883557
