target,R2,MAE,RMSE,split,CV_mean,CV_std,modelo
altura_max_m,0.7858255239666366,161.0052228168087,255.55381587988154,Dev,0.5632352410339396,0.13770796568188146,RandomForest
altura_max_m,0.6313818497607395,201.6108516464335,338.23190671082443,Test,0.5632352410339396,0.13770796568188146,RandomForest
ganancia_altura_m,0.7734453621178399,160.97181564604017,252.204535496428,Dev,0.5470647676947493,0.136216542950165,RandomForest
ganancia_altura_m,0.6005839371420725,197.4293577528222,329.72215424166296,Test,0.5470647676947493,0.136216542950165,RandomForest
duracion_min,0.7327890295703196,25.84914989200747,37.06584756594601,Dev,0.48399938308560947,0.14449589455877687,RandomForest
duracion_min,0.6741292767900616,27.69180883320937,41.78669867763308,Test,0.48399938308560947,0.14449589455877687,RandomForest
distancia_km,0.7544679090937327,59.810168516536045,84.27006304908736,Dev,0.5362292457959843,0.11841745553473094,RandomForest
distancia_km,0.713601435440717,62.67888547271874,91.34697460894483,Test,0.5362292457959843,0.11841745553473094,RandomForest
velocidad_promedio_kmh,0.6102385782432007,8.771852816947026,11.434064372389189,Dev,0.3162903083057122,0.1413621055582848,RandomForest
velocidad_promedio_kmh,0.5073253237006189,9.893100145320119,13.214666273198658,Test,0.3162903083057122,0.1413621055582848,RandomForest
num_termicas,0.4903270723284411,39.75385846731221,49.49821176831611,Dev,0.13144825536011379,0.13434563584593923,RandomForest
num_termicas,0.31334758745745095,46.3232627430166,57.57341696712253,Test,0.13144825536011379,0.13434563584593923,RandomForest
intensidad_termicas_mean_ms,0.32959429382378724,0.30461176658732675,0.4472819749649217,Dev,-0.12240187818124734,0.0733610502838427,RandomForest
intensidad_termicas_mean_ms,0.0,0.3321761514515182,0.4629705666751676,Test,-0.12240187818124734,0.0733610502838427,RandomForest
tiempo_en_termicas_min,0.742942186439771,10.462831820688624,14.557821464296671,Dev,0.4986338127213831,0.1374768855047872,RandomForest
tiempo_en_termicas_min,0.7043008354327782,11.010645677132619,15.821399908575424,Test,0.4986338127213831,0.1374768855047872,RandomForest
tasa_ascenso_mean_ms,0.2927122562918818,0.5501393584477422,0.9368774716372879,Dev,-0.10603549433753878,0.051285578799591384,RandomForest
tasa_ascenso_mean_ms,0.0,0.5730734752561656,0.8649226886722685,Test,-0.10603549433753878,0.051285578799591384,RandomForest
