target,features,max_depth,min_child_weight,learning_rate,n_estimators,subsample,colsample_bytree,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,simple,6,3,0.1,100,0.7,0.7,0.6393034965483662,0.9611407649982331,0.7226577434167911,-0.08335424686842496
ganancia_altura_m,simple,4,1,0.2,100,0.7,1.0,0.6095991406550507,0.9824256175542343,0.624570391683847,-0.014971251028796262
duracion_min,simple,4,1,0.05,150,0.6,0.8,0.5933673136740636,0.9178921839222206,0.771905407051469,-0.17853809337740545
distancia_km,simple,4,1,0.05,200,0.6,0.8,0.6046563003951728,0.9358754101879248,0.8172061916699536,-0.21254989127478074
velocidad_promedio_kmh,simple,6,1,0.05,50,0.8,0.8,0.28665926548810716,0.783785372112725,0.5051183683788563,-0.2184591028907491
num_termicas,simple,2,1,0.05,100,0.6,0.6,0.15506961337960812,0.37894680141736414,0.25877876443426717,-0.10370915105465905
intensidad_termicas_mean_ms,simple,2,10,0.01,50,0.7,0.6,-0.023013085633225905,0.056164767254658465,0.0,0.01122164032640438
tiempo_en_termicas_min,simple,6,3,0.05,100,0.7,0.7,0.589533644764978,0.935457562674136,0.739587775110479,-0.15005413034550097
tasa_ascenso_mean_ms,simple,3,10,0.01,50,0.6,0.8,-0.005524133120386221,0.07347774807811924,0.0,0.06089729879191554
