target,R2,MAE,RMSE,split,modelo
altura_max_m,0.37233449800704344,326.0546963436441,437.48447245735383,Dev,Ridge
altura_max_m,0.4332946767308812,321.0163258093895,419.3772448314924,Test,Ridge
ganancia_altura_m,0.3291980889657643,325.0732957951042,433.97384841299,Dev,Ridge
ganancia_altura_m,0.35426521421933777,319.63555708329335,419.2397532467496,Test,Ridge
duracion_min,0.4703423681781822,39.1078748524784,52.184846510659995,Dev,Ridge
duracion_min,0.6522514433146857,33.461054023936555,43.16662130153598,Test,Ridge
distancia_km,0.45922318794519845,95.27990697982587,125.06282033028239,Dev,Ridge
distancia_km,0.6244867377664973,81.10965053872712,104.59752050322281,Test,Ridge
velocidad_promedio_kmh,0.2986529506013873,12.181031966827796,15.33796331202267,Dev,Ridge
velocidad_promedio_kmh,0.4442248318755263,10.843066375445508,14.035427630141093,Test,Ridge
num_termicas,0.20718467168221655,51.5463882352227,61.734757368362004,Dev,Ridge
num_termicas,0.16155202179670913,52.434386939649684,63.619696250273726,Test,Ridge
intensidad_termicas_mean_ms,0.0,0.38164102177396547,0.5462765346970107,Dev,Dummy (R²<0)
intensidad_termicas_mean_ms,0.0,0.33160214090117,0.4508368512494338,Test,Dummy (R²<0)
tiempo_en_termicas_min,0.451511739015383,16.233853683098715,21.264964048307586,Dev,Ridge
tiempo_en_termicas_min,0.6073637240313867,14.136986521269725,18.231192229573644,Test,Ridge
tasa_ascenso_mean_ms,0.0,0.6381616866182802,1.1139988171808364,Dev,Dummy (R²<0)
tasa_ascenso_mean_ms,0.0,0.5297190689569331,0.8359664296375852,Test,Dummy (R²<0)
