target,max_depth,min_samples_leaf,max_features,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,15.0,2,0.5,0.6136791824195522,0.8808228702620867,0.6906149996341948,0.1902078706278919
ganancia_altura_m,,2,0.5,0.5829090192880308,0.8728100907138395,0.6682737075876739,0.20453638312616562
duracion_min,15.0,2,0.7,0.5642392607548855,0.8795841309481116,0.7370178575610058,0.1425662733871058
distancia_km,10.0,2,0.5,0.5862246433189485,0.8700486995978197,0.7560194739618575,0.11402922563596218
velocidad_promedio_kmh,12.0,2,sqrt,0.3007787716777109,0.7129900609004167,0.49069372043486414,0.22229634046555258
num_termicas,5.0,2,sqrt,0.13029795457752716,0.40804941951184426,0.2637897358244832,0.14425968368736108
intensidad_termicas_mean_ms,5.0,15,sqrt,-0.031865964163730644,0.13869461288677198,0.0,0.1840727529285474
tiempo_en_termicas_min,8.0,2,0.5,0.5622466794787894,0.855286323499393,0.7385770207145741,0.11670930278481895
tasa_ascenso_mean_ms,5.0,15,0.3,-0.02213630448912478,0.13096770056675722,0.0,0.22232861113475477
