target,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate,n_estimators,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,4,1,0.0,1.0,1.0,0.05,300,0.6588415356619051,0.9859028686261341,0.7236582020696144,0.2622446665565197
ganancia_altura_m,4,1,0.0,1.0,1.0,0.1,100,0.6222826875089955,0.9733520432815385,0.6810380463827517,0.2923139968987868
duracion_min,3,7,0.0,1.0,0.6,0.1,100,0.37748078347381575,0.7956814052192721,0.6779249230775136,0.11775648214175849
distancia_km,6,5,0.1,0.8,1.0,0.01,300,0.4855187822919736,0.8581886691149208,0.7206684003657524,0.13752026874916834
velocidad_promedio_kmh,5,5,0.1,1.0,0.8,0.01,300,0.31036357116161206,0.7601734327162519,0.5425280499126669,0.21764538280358503
num_termicas,3,7,0.0,1.0,0.8,0.01,100,0.12409153293525357,0.2797461239783121,0.17433844669319964,0.10540767728511247
intensidad_termicas_mean_ms,3,7,0.3,0.6,0.6,0.01,100,-0.07301688440293015,0.15440422557723887,0.0,0.22128892709229753
tiempo_en_termicas_min,3,7,0.0,1.0,0.6,0.05,200,0.4003579341789349,0.8056901403956082,0.6858587143958919,0.1198314259997163
tasa_ascenso_mean_ms,3,7,0.3,0.6,0.8,0.01,100,-0.03387341340606698,0.17448916634932776,0.0,0.27799832056045837
