target,features,n_features,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,simple,15,0.5488342718481075,0.7536256867474591,0.6240956847534319,0.1295300019940272
ganancia_altura_m,simple,15,0.5286502700896751,0.7366703532457106,0.5784867660166781,0.15818358722903247
duracion_min,simple,15,0.4847064131015374,0.7129142468125621,0.6638783316734234,0.04903591513913874
distancia_km,simple,15,0.5189432862002741,0.729456978932297,0.6986671206358023,0.03078985829649472
velocidad_promedio_kmh,simple,15,0.2786646092290736,0.5551002267961461,0.46222698985705524,0.09287323693909089
num_termicas,simple,15,0.12472133386444513,0.4334396096358898,0.27880240372997867,0.15463720590591112
intensidad_termicas_mean_ms,simple,15,-0.1147719104990319,0.2960376870235045,0.0,0.4033852413240365
tiempo_en_termicas_min,simple,15,0.48613104845159444,0.7102760646662121,0.6801782770800535,0.030097787586158553
tasa_ascenso_mean_ms,simple,15,-0.10601269123187329,0.24946482667352154,0.0,0.4991348284450605
