target,R2,MAE,RMSE,split,modelo
altura_max_m,0.0,426.2517057843968,552.2026844846226,Dev,DummyRegressor
altura_max_m,-0.014452471819575097,429.22662766575365,561.1023252670534,Test,DummyRegressor
ganancia_altura_m,0.0,408.13517579413696,529.8664402424463,Dev,DummyRegressor
ganancia_altura_m,-0.018850355008236397,401.3787627582772,526.6117753982467,Test,DummyRegressor
duracion_min,0.0,56.09164453660938,71.70456297832874,Dev,DummyRegressor
duracion_min,-0.0008497952086576888,55.51753663596381,73.23182234750925,Test,DummyRegressor
distancia_km,0.0,135.2224866517946,170.06666204217404,Dev,DummyRegressor
distancia_km,-5.81605821685649e-05,135.33076923076928,170.69522750050479,Test,DummyRegressor
velocidad_promedio_kmh,0.0,14.675254008650935,18.314758968331425,Dev,DummyRegressor
velocidad_promedio_kmh,-0.0039040606116982346,14.733458634138243,18.863496042888077,Test,DummyRegressor
num_termicas,0.0,57.07569924906526,69.33359615153535,Dev,DummyRegressor
num_termicas,-0.0035286157414906594,57.11751306945483,69.60146979312744,Test,DummyRegressor
intensidad_termicas_mean_ms,0.0,0.38164102177396547,0.5462765346970107,Dev,DummyRegressor
intensidad_termicas_mean_ms,-0.059495861584680565,0.33160214090117,0.4508368512494338,Test,DummyRegressor
tiempo_en_termicas_min,0.0,22.434852001968977,28.71315955674776,Dev,DummyRegressor
tiempo_en_termicas_min,-0.0010275006972757517,21.936745166376234,29.110044123592303,Test,DummyRegressor
tasa_ascenso_mean_ms,0.0,0.6381616866182802,1.1139988171808364,Dev,DummyRegressor
tasa_ascenso_mean_ms,-0.03423753342211988,0.5297190689569331,0.8359664296375852,Test,DummyRegressor
altura_max_m,0.3794050100436195,327.8638403882956,435.01341120418726,Dev,LinearRegression
altura_max_m,0.4302099708651117,318.3566104943234,420.5170786691489,Test,LinearRegression
ganancia_altura_m,0.3363807836458308,326.8686341477075,431.6441809184057,Dev,LinearRegression
ganancia_altura_m,0.34964377884740727,317.3524919502214,420.73729932194715,Test,LinearRegression
duracion_min,0.47506924947567797,39.23259318596379,51.95146519111698,Dev,LinearRegression
duracion_min,0.6614727690511105,33.55404936045103,42.590446556497426,Test,LinearRegression
distancia_km,0.4654541470140262,95.24396506401698,124.34023105540275,Dev,LinearRegression
distancia_km,0.6385029905795372,80.00276536873072,102.6268748456675,Test,LinearRegression
velocidad_promedio_kmh,0.30222165878154006,12.1589851352762,15.298890984729361,Dev,LinearRegression
velocidad_promedio_kmh,0.45404265241120334,10.716431619531825,13.910906687774602,Test,LinearRegression
num_termicas,0.21179436320858214,51.405294663987235,61.55502254064125,Dev,LinearRegression
num_termicas,0.16192164884310922,52.842080501099645,63.60567143699364,Test,LinearRegression
intensidad_termicas_mean_ms,0.07259574148319103,0.37104213183256063,0.5260743032856563,Dev,LinearRegression
intensidad_termicas_mean_ms,-0.09394036472564893,0.3428987755836037,0.4581066532921772,Test,LinearRegression
tiempo_en_termicas_min,0.45619200680774086,16.21089728679874,21.174042365762354,Dev,LinearRegression
tiempo_en_termicas_min,0.6163067691187052,14.231201452359263,18.022371100537033,Test,LinearRegression
tasa_ascenso_mean_ms,0.03652299844324003,0.6384525840335583,1.0934663076446447,Dev,LinearRegression
tasa_ascenso_mean_ms,-0.05115615618180569,0.5578198106176111,0.8427762906010415,Test,LinearRegression
altura_max_m,0.37233449800704344,326.0546963436441,437.48447245735383,Dev,Ridge
altura_max_m,0.4332946767308812,321.0163258093895,419.3772448314924,Test,Ridge
ganancia_altura_m,0.3291980889657643,325.0732957951042,433.97384841299,Dev,Ridge
ganancia_altura_m,0.35426521421933777,319.63555708329335,419.2397532467496,Test,Ridge
duracion_min,0.4703423681781822,39.1078748524784,52.184846510659995,Dev,Ridge
duracion_min,0.6522514433146857,33.461054023936555,43.16662130153598,Test,Ridge
distancia_km,0.45922318794519845,95.27990697982587,125.06282033028239,Dev,Ridge
distancia_km,0.6244867377664973,81.10965053872712,104.59752050322281,Test,Ridge
velocidad_promedio_kmh,0.2986529506013873,12.181031966827796,15.33796331202267,Dev,Ridge
velocidad_promedio_kmh,0.4442248318755263,10.843066375445508,14.035427630141093,Test,Ridge
num_termicas,0.20718467168221655,51.5463882352227,61.734757368362004,Dev,Ridge
num_termicas,0.16155202179670913,52.434386939649684,63.619696250273726,Test,Ridge
intensidad_termicas_mean_ms,0.06955544587952989,0.3719194757265672,0.5269359085032388,Dev,Ridge
intensidad_termicas_mean_ms,-0.09707132871670399,0.3437706438065083,0.4587617578390634,Test,Ridge
tiempo_en_termicas_min,0.451511739015383,16.233853683098715,21.264964048307586,Dev,Ridge
tiempo_en_termicas_min,0.6073637240313867,14.136986521269725,18.231192229573644,Test,Ridge
tasa_ascenso_mean_ms,0.03519993751828421,0.6365574581188705,1.094216832160313,Dev,Ridge
tasa_ascenso_mean_ms,-0.049438249223111574,0.5577880480402811,0.8420873333657497,Test,Ridge
