target,R2,MAE,RMSE,split,CV_mean,CV_std,modelo
altura_max_m,0.7415502694574023,176.70420472212814,280.7285325240495,Dev,0.550820958494923,0.12402673289256592,RF_Full
altura_max_m,0.6322512533032094,202.32359211094365,337.8328031790132,Test,0.550820958494923,0.12402673289256592,RF_Full
ganancia_altura_m,0.7281160710985652,175.43455691236258,276.28555691821987,Dev,0.5315222890234199,0.12226653411295745,RF_Full
ganancia_altura_m,0.602053824989009,199.48593010134255,329.1148911040277,Test,0.5315222890234199,0.12226653411295745,RF_Full
duracion_min,0.6633683239255529,29.77505556126713,41.6029649519793,Dev,0.4426395114506601,0.11650395456392479,RF_Full
duracion_min,0.6062535212677498,29.850506729302285,45.93288571747654,Test,0.4426395114506601,0.11650395456392479,RF_Full
distancia_km,0.6930913292441581,67.0927527745218,94.21580580066876,Dev,0.49318843259031253,0.09695056106788556,RF_Full
distancia_km,0.6661043380576455,67.38480792350992,98.63115935245185,Test,0.49318843259031253,0.09695056106788556,RF_Full
velocidad_promedio_kmh,0.5221545629309712,9.750802476982257,12.66032717647484,Dev,0.27339565613715155,0.12502793579115218,RF_Full
velocidad_promedio_kmh,0.42607617782850815,10.59334571759617,14.262747891048438,Test,0.27339565613715155,0.12502793579115218,RF_Full
num_termicas,0.4007549300559884,42.952037289987395,53.67177538529397,Dev,0.12479925184795355,0.14038212175910486,RF_Full
num_termicas,0.2744413041685224,48.57474725023804,59.18202295442851,Test,0.12479925184795355,0.14038212175910486,RF_Full
intensidad_termicas_mean_ms,0.2548172754004825,0.3281851201213697,0.47156757450839876,Dev,-0.13544794114818762,0.09370552087012476,RF_Full
intensidad_termicas_mean_ms,0.0,0.3527234605797868,0.4732713424672192,Test,-0.13544794114818762,0.09370552087012476,RF_Full
tiempo_en_termicas_min,0.6709715042790273,11.978135214354866,16.470157045681514,Dev,0.4648852642288116,0.09025022591123215,RF_Full
tiempo_en_termicas_min,0.6603506706039886,11.577154541269636,16.956461965017255,Test,0.4648852642288116,0.09025022591123215,RF_Full
tasa_ascenso_mean_ms,0.22799240656713504,0.5815613517566612,0.9788035047612949,Dev,-0.09178891271054201,0.041443252837892214,RF_Full
tasa_ascenso_mean_ms,0.0,0.6165499507866993,0.9207449601388014,Test,-0.09178891271054201,0.041443252837892214,RF_Full
