target,features,max_depth,min_child_weight,learning_rate,n_estimators,subsample,colsample_bytree,CV_R2,Dev_R2,Test_R2,Gap
altura_max_m,full,10,3,0.05,100,0.6,1.0,0.6179361567412677,0.9488483418649674,0.7164491888470202,-0.09851303210575257
ganancia_altura_m,full,5,3,0.05,200,1.0,1.0,0.5849559626080231,0.9760879695847132,0.6951414263762039,-0.11018546376818084
duracion_min,full,7,1,0.05,150,0.8,1.0,0.5835917394297884,0.9936081438961266,0.637724729131059,-0.05413298970127067
distancia_km,full,10,3,0.05,100,0.6,1.0,0.5840910444477723,0.9618235714070632,0.7704504117730706,-0.18635936732529834
velocidad_promedio_kmh,full,7,5,0.01,150,0.8,0.6,0.2664097642539078,0.625784603411542,0.4104447856264948,-0.144035021372587
num_termicas,full,2,5,0.01,150,0.8,0.8,0.14050410865724122,0.28158899839502505,0.22696475096297186,-0.08646064230573064
intensidad_termicas_mean_ms,full,10,10,0.01,50,0.8,1.0,-0.03954518384576318,0.1717624015565784,0.0,0.016328045044734993
tiempo_en_termicas_min,full,5,3,0.05,150,0.8,0.6,0.5659988541644173,0.950864367036146,0.7338200521608473,-0.16782119799643003
tasa_ascenso_mean_ms,full,2,5,0.01,50,1.0,0.8,-0.013269932321643686,0.09119353792463891,0.0,0.09082090068108824
