altura_max_m,altura_min_m,ganancia_altura_m,duracion_min,velocidad_promedio_kmh,num_termicas,intensidad_termicas_mean_ms,tiempo_en_termicas_min,tasa_ascenso_mean_ms
3221.0,101.0,3118.0,282.1,118.4,126.0,2.76,105.9,2.73
3015.0,101.0,2912.0,287.7,131.6,186.0,2.79,118.2,2.68
3140.0,110.0,3030.0,297.6,129.0,160.0,4.54,128.0,6.6
2647.0,113.0,2530.0,231.0,126.7,192.0,2.8,94.7,2.83
1840.0,100.0,1739.0,211.1,109.3,114.0,2.56,80.8,2.53
1628.0,103.0,1524.0,185.8,103.3,72.0,2.32,72.9,2.16
1812.0,98.0,1711.0,233.3,114.4,168.0,2.6,93.8,2.42
1922.0,67.0,1854.0,155.9,122.1,45.0,2.84,60.1,2.66
1222.0,87.0,1129.0,142.3,112.0,61.0,2.29,52.6,2.27
2827.0,200.0,2627.0,173.8,143.9,144.0,3.33,76.6,3.17
2793.0,187.0,2602.0,149.7,113.8,91.0,2.19,53.7,2.14
2932.0,192.0,2738.0,209.7,121.3,55.0,2.34,84.0,2.07
2770.0,198.0,2568.0,165.5,133.0,33.0,2.51,73.4,2.46
1732.0,190.0,1539.0,166.6,127.2,83.0,2.72,69.3,2.71
1808.0,195.0,1610.0,155.3,119.1,110.0,2.42,62.8,2.38
1732.0,197.0,1529.0,181.2,120.9,24.0,2.44,74.8,2.04
1963.0,191.0,1772.0,216.2,113.7,38.0,2.45,84.6,1.95
1718.0,192.0,1525.0,214.6,113.6,139.0,2.29,80.5,2.13
1718.0,172.0,1546.0,129.8,102.5,100.0,3.95,58.7,6.69
2121.0,193.0,1926.0,215.8,98.8,141.0,2.37,83.9,2.33
2277.0,194.0,2082.0,177.2,106.6,123.0,4.94,76.0,5.59
2343.0,202.0,2140.0,186.2,131.8,137.0,2.89,79.5,2.83
2180.0,196.0,1981.0,196.4,115.0,116.0,2.66,75.1,2.43
2093.0,185.0,1907.0,195.6,113.0,39.0,2.36,77.5,1.95
2276.0,205.0,2069.0,179.6,126.3,26.0,2.31,74.7,2.11
1094.0,103.0,991.0,46.1,91.3,12.0,2.01,16.9,1.75
2845.0,191.0,2651.0,205.8,114.7,121.0,2.64,79.8,2.56
2542.0,194.0,2345.0,184.5,115.9,40.0,2.7,75.6,2.2
2826.0,196.0,2623.0,168.2,134.4,23.0,2.66,71.2,2.34
2759.0,189.0,2568.0,185.4,124.0,123.0,2.81,71.0,2.52
2009.0,97.0,1908.0,261.4,119.0,206.0,2.46,105.8,2.33
2040.0,102.0,1938.0,228.1,106.7,103.0,2.43,87.8,2.33
2794.0,190.0,2604.0,177.3,135.5,101.0,2.71,73.1,2.75
2767.0,200.0,2558.0,155.0,130.2,128.0,2.9,64.1,2.86
2833.0,194.0,2638.0,166.9,116.2,102.0,3.42,69.2,4.4
2062.0,180.0,1877.0,171.3,116.8,107.0,2.68,67.4,2.43
2106.0,187.0,1918.0,159.6,117.0,41.0,2.63,65.4,2.2
2246.0,52.0,2180.0,223.2,120.4,150.0,2.5,87.0,2.5
2102.0,102.0,1995.0,217.5,84.7,114.0,2.72,75.2,4.6
2104.0,191.0,1910.0,158.4,119.2,106.0,2.48,62.6,2.46
2102.0,102.0,2000.0,231.0,106.2,123.0,2.13,98.6,2.06
2250.0,200.0,2047.0,218.3,117.1,32.0,2.27,90.6,2.03
2292.0,93.0,2195.0,235.7,115.0,162.0,2.45,93.1,2.31
2327.0,200.0,2126.0,211.6,122.5,169.0,2.56,88.5,2.53
2191.0,188.0,2002.0,155.3,97.6,65.0,2.78,55.6,2.57
2169.0,193.0,1975.0,154.3,104.2,83.0,3.06,63.4,3.42
1938.0,188.0,1750.0,200.2,101.3,118.0,2.5,77.8,2.36
1656.0,194.0,1462.0,131.2,119.0,89.0,2.3,49.7,2.22
1762.0,188.0,1574.0,154.3,111.8,30.0,2.63,60.7,2.16
1878.0,193.0,1685.0,161.9,104.2,81.0,2.76,62.5,3.97
1795.0,198.0,1583.0,129.8,113.1,95.0,2.74,50.6,2.59
1802.0,185.0,1611.0,191.1,95.2,53.0,2.06,73.7,2.04
1746.0,194.0,1552.0,171.0,116.3,83.0,2.51,65.4,2.34
1777.0,201.0,1569.0,164.7,114.3,26.0,2.33,67.5,1.91
1443.0,194.0,1248.0,70.4,91.8,39.0,4.41,28.4,4.66
1685.0,193.0,1490.0,106.9,101.7,65.0,2.05,44.9,2.05
1790.0,205.0,1584.0,69.3,114.5,14.0,2.09,29.8,1.98
1773.0,196.0,1577.0,59.7,119.5,29.0,2.67,24.7,2.56
728.0,28.0,700.0,40.0,77.7,10.0,2.16,13.4,1.92
1066.0,24.0,1032.0,78.3,83.9,22.0,2.19,27.2,1.96
2186.0,103.0,2081.0,241.6,124.4,107.0,2.81,91.6,4.42
2131.0,108.0,2016.0,238.2,122.8,143.0,2.75,92.8,2.57
2049.0,102.0,1947.0,208.0,99.9,134.0,3.62,75.5,6.56
2187.0,50.0,2088.0,229.1,126.0,184.0,2.65,95.2,2.51
2169.0,102.0,2067.0,198.0,123.4,117.0,2.48,79.1,2.45
2270.0,113.0,2157.0,237.7,122.0,216.0,2.54,94.2,2.49
2042.0,102.0,1939.0,223.8,110.9,116.0,2.29,89.7,2.21
1206.0,28.0,1177.0,81.2,93.3,37.0,2.22,29.9,1.95
1003.0,30.0,971.0,31.2,82.4,6.0,2.42,9.9,1.91
1243.0,189.0,1054.0,100.8,100.7,6.0,2.25,40.4,1.78
1395.0,199.0,1196.0,193.8,110.8,36.0,2.3,69.5,1.77
1614.0,119.0,1494.0,46.5,106.8,33.0,2.62,18.5,2.55
1336.0,193.0,1141.0,173.4,116.8,131.0,2.3,69.8,2.18
1322.0,196.0,1124.0,184.1,118.7,126.0,2.28,75.7,2.18
1504.0,200.0,1303.0,154.0,137.1,125.0,2.9,59.4,2.68
1521.0,194.0,1322.0,148.9,137.3,139.0,2.5,61.8,2.4
1842.0,92.0,1750.0,270.8,105.2,133.0,1.83,102.0,1.87
1795.0,209.0,1584.0,207.8,121.6,21.0,2.13,82.0,1.67
1764.0,204.0,1559.0,212.8,142.6,181.0,2.94,85.4,2.73
1837.0,189.0,1648.0,175.8,129.3,17.0,2.46,68.6,2.39
1917.0,193.0,1723.0,204.4,141.5,158.0,2.91,80.0,2.75
1732.0,181.0,1551.0,201.7,125.3,87.0,3.15,62.1,2.96
1747.0,208.0,1537.0,147.1,137.7,122.0,3.05,57.0,2.77
1817.0,194.0,1623.0,232.9,125.8,114.0,2.49,91.9,2.41
1383.0,191.0,1188.0,135.9,108.7,69.0,2.31,48.6,2.22
1834.0,205.0,1626.0,196.5,131.7,53.0,2.73,73.9,2.32
1778.0,202.0,1573.0,217.0,123.9,168.0,2.57,86.0,2.47
1827.0,173.0,1654.0,287.9,89.5,43.0,2.5,85.4,1.93
1920.0,184.0,1733.0,168.2,118.3,102.0,2.28,66.8,2.21
1734.0,206.0,1527.0,213.3,141.7,60.0,3.05,83.4,2.38
1772.0,201.0,1569.0,225.8,125.7,143.0,2.56,91.7,2.49
2109.0,205.0,1904.0,218.8,124.7,56.0,2.87,82.1,2.48
2203.0,201.0,2000.0,200.7,131.4,168.0,2.78,84.4,2.71
2126.0,184.0,1941.0,231.2,133.1,200.0,2.82,96.8,2.69
2213.0,204.0,2009.0,254.4,149.6,222.0,3.2,106.7,3.08
2242.0,201.0,2040.0,157.0,132.3,115.0,2.72,58.2,2.64
2175.0,212.0,1961.0,218.9,128.7,24.0,2.35,88.1,2.28
2130.0,184.0,1943.0,235.8,127.3,130.0,2.35,93.3,2.47
2061.0,196.0,1864.0,199.9,134.8,116.0,2.63,77.7,2.62
2256.0,204.0,2052.0,244.1,148.0,71.0,3.24,94.7,2.62
2193.0,204.0,1989.0,236.4,119.7,167.0,2.19,97.2,2.11
2253.0,185.0,2067.0,227.3,122.2,185.0,2.4,89.3,2.42
2126.0,187.0,1936.0,196.4,134.9,21.0,2.81,76.0,2.63
2067.0,197.0,1866.0,241.0,146.4,229.0,3.47,101.4,3.36
2207.0,203.0,2004.0,243.0,150.6,209.0,2.97,95.7,2.8
2132.0,203.0,1929.0,228.7,135.4,177.0,2.2,92.8,2.16
2158.0,193.0,1952.0,240.8,102.8,56.0,2.88,74.7,2.38
2152.0,199.0,1950.0,197.4,128.2,185.0,2.4,87.4,2.29
2254.0,193.0,2061.0,210.0,125.8,119.0,2.57,80.0,2.55
2254.0,193.0,2061.0,210.0,125.8,119.0,2.57,80.0,2.55
2162.0,205.0,1954.0,250.8,146.2,226.0,3.11,97.9,2.97
2365.0,169.0,2182.0,347.5,106.2,85.0,2.82,113.9,2.23
2429.0,206.0,2221.0,255.1,124.8,33.0,2.42,104.4,2.13
2597.0,204.0,2393.0,253.0,137.2,92.0,2.82,100.7,2.56
2571.0,189.0,2382.0,286.9,132.4,33.0,2.82,115.0,2.53
