target,Baseline,RandomForest,XGBoost,Ganador,Mejor_R2
altura_max_m,0.606951551906667,0.6906149996341948,0.7226577434167911,XGBoost,0.7226577434167911
ganancia_altura_m,0.5505764528080233,0.6682737075876739,0.624570391683847,RandomForest,0.6682737075876739
duracion_min,0.6984523831425831,0.7370178575610058,0.771905407051469,XGBoost,0.771905407051469
distancia_km,0.6566604043798765,0.7560194739618575,0.8172061916699536,XGBoost,0.8172061916699536
velocidad_promedio_kmh,0.4824472709774785,0.4906937204348641,0.5051183683788563,XGBoost,0.5051183683788563
num_termicas,0.1697377829922798,0.2637897358244832,0.25877876443426717,RandomForest,0.2637897358244832
intensidad_termicas_mean_ms,0.0,0.0,0.0,Baseline,0.0
tiempo_en_termicas_min,0.7144292422627305,0.7385770207145741,0.739587775110479,XGBoost,0.739587775110479
tasa_ascenso_mean_ms,0.0,0.0,0.0,Baseline,0.0
